Query,RetrievedDocuments
301,LA123190-0130 FT931-266 
302,FBIS3-10007 FT942-11137 
303,FBIS3-10007 FT942-13517 
304,FBIS3-10007 FT942-14705 
305,FBIS3-10007 FT941-7740 
306,FBIS3-10007 FT941-3358 
307,FBIS3-10007 FT924-6000 
308,FBIS3-10007 FT942-16673 
309,FBIS3-10007 FT942-12147 
310,FBIS3-10007 FT941-7250 
311,FBIS3-10007 FT941-9399 
312,FBIS3-10007 FT942-17163 
313,FBIS3-10007 FT942-16044 
314,FBIS3-10007 FT942-13408 
315,FBIS3-10007 FT942-11096 
316,FBIS3-10007 FT942-17161 
317,FBIS3-10007 FT942-1657 
318,LA123190-0130 FT924-15490 
319,FBIS3-10007 LA032389-0089 
320,FBIS3-10007 FT942-1500 
321,FBIS3-10007 FT941-9600 
322,FT931-12079 FT934-9639 
323,FBIS3-10007 FT942-14642 
324,FBIS3-10007 FT941-496 
325,FBIS3-10007 FT942-16387 
326,FBIS3-10007 FT942-15440 
327,FBIS3-10007 FT942-13859 
328,FBIS3-10007 FT942-16679 
329,FT931-12079 FT934-8353 
330,FBIS3-10007 FT942-12479 
331,FBIS3-10007 FT934-1546 
332,FBIS3-10007 FT941-8961 
333,FBIS3-10007 FT942-13457 
334,FBIS3-10007 FT941-4380 
335,FBIS3-10007 FT941-7241 
336,FBIS3-10007 FT941-1751 
337,FBIS3-10007 FT942-16810 
338,FBIS3-10007 FT942-12229 
339,FBIS3-10007 FT941-4654 
340,FBIS3-10007 FT941-5016 
341,FT931-12079 FT941-5841 
342,FBIS3-10007 FT942-14804 
343,FBIS3-10007 FT941-12879 
344,FBIS3-10007 FT942-12130 
345,FBIS3-10007 FT941-9472 
346,FBIS3-10007 FT941-5756 
347,FBIS3-10007 FT942-15730 
348,FBIS3-10007 FT942-17261 
349,FBIS3-10007 FT942-17054 
350,FBIS3-10007 FT941-4063 
351,FBIS3-10007 FT942-1449 
352,FBIS3-10007 FT942-11110 
353,FBIS3-10007 FT942-14540 
354,FBIS3-10007 FT942-10720 
355,FBIS3-10007 FT941-8703 
356,FBIS3-10007 FT942-15447 
357,FBIS3-10007 FT941-4153 
358,FBIS3-10007 FT941-9674 
359,FBIS3-10007 FT941-6863 
360,FBIS3-10007 FT941-13212 
361,FBIS3-10007 FT942-1449 
362,FT931-12079 FT934-8804 
363,FBIS3-10007 FT942-10276 
364,FBIS3-10007 FT942-17115 
365,FBIS3-10007 FT942-13390 
366,FBIS3-10007 FT934-1060 
367,FBIS3-10007 FT942-17285 
368,FBIS3-10007 FT942-16266 
369,FBIS3-10007 FT942-17161 
370,FBIS3-10007 FT934-8396 
371,FBIS3-10007 FT941-7859 
372,FBIS3-10007 FT941-141 
373,LA123190-0130 LA082190-0152 
374,FBIS3-10007 FT942-1212 
375,FBIS3-10007 FT942-13554 
376,FBIS3-10007 FT934-14629 
377,FBIS3-10007 FT942-1507 
378,FBIS3-10007 FT942-13515 
379,FBIS3-10007 FT942-16454 
380,FBIS3-10007 FT941-6757 
381,FBIS3-10007 FT942-10883 
382,FBIS3-10007 FT942-13078 
383,FBIS3-10007 FT941-3200 
